pad,x,y,scale,direction,cobo,asad,aget,channel,cy,cx
0,-269.95294,4.2506561,1.0,0,8,2,0,65,269.95294,-2.8337707007520283
1,-265.04471,4.2506561,1.0,1,8,2,0,48,265.04471,-5.667541499247971
2,-260.13647,4.2506561,1.0,0,8,2,0,33,260.13647,-2.8337707007520283
3,-255.22823,4.2506561,1.0,1,8,2,0,18,255.22823,-5.667541499247971
4,-250.31999,4.2506561,1.0,0,8,2,0,3,250.31999,-2.8337707007520283
5,-245.41176,4.2506561,1.0,1,8,2,1,54,245.41176,-5.667541499247971
6,-240.50352,4.2506561,1.0,0,8,2,1,37,240.50352,-2.8337707007520283
7,-235.59529,4.2506561,1.0,1,8,2,1,23,235.59529,-5.667541499247971
8,-230.68706,4.2506561,1.0,0,8,2,1,12,230.68706,-2.8337707007520283
9,-225.77882,4.2506561,1.0,1,8,2,1,9,225.77882,-5.667541499247971
10,-220.87057,4.2506561,1.0,0,8,2,1,8,220.87057,-2.8337707007520283
11,-215.96234,4.2506561,1.0,1,8,2,2,66,215.96234,-5.667541499247971
12,-211.05411,4.2506561,1.0,0,8,2,2,49,211.05411,-2.8337707007520283
13,-206.14587,4.2506561,1.0,1,8,2,2,34,206.14587,-5.667541499247971
14,-201.23764,4.2506561,1.0,0,8,2,2,17,201.23764,-2.8337707007520283
15,-196.32941,4.2506561,1.0,1,8,2,2,2,196.32941,-5.667541499247971
16,-191.42117,4.2506561,1.0,0,8,2,3,53,191.42117,-2.8337707007520283
17,-186.51294,4.2506561,1.0,1,8,2,3,38,186.51294,-5.667541499247971
18,-181.60471,4.2506561,1.0,0,8,2,3,21,181.60471,-2.8337707007520283
19,-176.69647,4.2506561,1.0,1,8,2,3,6,176.69647,-5.667541499247971
20,-171.78822,4.2506561,1.0,0,8,2,3,0,171.78822,-2.8337707007520283
21,-166.87999,4.2506561,1.0,1,8,3,3,48,166.87999,-5.667541499247971
22,-161.97176,4.2506561,1.0,0,8,3,3,4,161.97176,-2.8337707007520283
23,-157.06352,4.2506561,1.0,1,8,3,3,15,157.06352,-5.667541499247971
